new covid19 cases,new covid19,je,last 24,covid19 outbreak,casos nuevos,confinement,contagios,nous,stay home stay,vous,qu,active cases,il faut,april,pas,new covid 19,new covid,staying home,wearing masks,front lines,covid 19 cases,19 cases,est pas,il est,second,spike,ppe,ministerio salud,ce,est,increase
0,0,3375,0,0,0,1986,0,1964,355,2439,2411,0,416,0,4411,246,0,478,0,0,1336,1351,578,348,0,0,0,0,2932,6838,0
0,0,3460,0,296,0,2260,0,2066,427,2686,2494,0,418,0,4490,353,363,592,0,0,1583,1594,607,384,0,0,0,0,3128,7155,0
0,0,3483,0,325,0,2116,0,2006,536,2677,2599,0,421,0,4822,521,529,602,0,324,1717,1728,619,434,0,0,0,0,3221,8348,0
0,0,3265,0,443,0,1908,0,2057,433,2563,2545,0,402,0,4721,421,430,544,0,356,1771,1788,566,409,0,0,0,0,3097,7291,0
0,0,4158,0,699,0,2691,0,2917,628,3875,2803,0,523,0,6526,486,490,812,0,671,3056,3077,822,544,0,0,0,0,4102,9603,0
0,0,4426,0,712,0,3407,0,2929,570,4111,2985,0,499,0,6556,512,519,908,0,670,3046,3065,807,627,0,0,0,0,4306,10456,0
0,0,4608,0,497,0,3550,0,3060,568,3971,3272,0,577,0,7271,581,586,731,0,537,2675,2696,898,601,0,0,0,0,4533,10384,0
0,0,4527,0,557,0,3248,0,2816,435,3621,3113,0,543,3457,6914,483,494,700,392,516,2395,2418,858,596,0,0,3739,0,4423,10569,0
0,0,4111,0,661,0,3347,0,2875,608,3785,2943,0,527,4404,6563,555,562,957,0,954,2641,2659,800,513,0,0,2817,0,4307,9647,0
0,0,4353,0,661,0,2827,0,3159,464,3810,3012,0,477,7455,6794,629,636,919,0,692,2577,2593,848,615,0,0,3115,0,4419,10441,0
0,0,3959,0,722,0,3052,0,2854,511,3461,2696,0,473,14473,6303,644,655,802,0,583,2720,2729,780,487,0,0,4567,0,4046,9710,0
0,0,4254,0,630,0,3307,0,2895,435,3898,2883,0,512,8478,6663,526,541,735,0,591,2932,2946,810,506,0,0,4132,0,4199,9970,0
0,0,4897,0,632,0,3760,0,3707,463,4705,3608,0,614,8915,8580,609,621,1018,675,604,2771,2813,1140,658,0,0,3756,0,5105,11810,0
0,0,4902,0,501,0,2960,0,3674,510,4215,3623,0,671,7071,7944,707,720,943,0,502,2765,2794,1042,623,0,0,3363,0,5049,11407,0
0,0,4475,0,534,0,3759,0,3066,475,3834,3275,0,603,6902,7319,704,712,883,0,473,2833,2844,915,587,0,0,3245,0,4635,10525,0
0,0,4417,0,681,0,3679,0,3038,460,3929,3152,0,523,8790,7040,770,789,879,0,711,2761,2771,821,513,0,0,3379,0,4799,10812,0
0,0,4869,0,802,0,4129,0,3488,524,4191,3349,0,521,8708,7879,941,959,924,0,1235,2753,2767,1149,654,0,0,3358,0,4766,11750,0
0,0,5127,479,727,0,4523,0,3657,472,4381,3628,0,580,8952,8395,861,882,799,0,717,3367,3421,1101,672,0,0,3947,0,4985,12380,0
0,0,4134,0,676,0,3691,0,3152,444,3907,3177,0,554,8394,7124,791,818,712,0,708,3401,3421,908,575,0,0,4151,0,4074,10302,0
0,0,3975,523,599,0,3609,0,3229,481,3577,3078,0,497,8704,7063,928,971,897,0,742,3451,3468,893,541,0,0,4111,0,4408,10403,0
0,0,4001,459,494,0,3892,0,3856,544,3451,3113,418,792,7237,7541,760,778,725,0,551,3402,3427,894,548,0,0,5837,0,4600,10609,0
0,0,5195,0,583,0,4963,0,3770,602,4054,3960,0,671,7313,8616,929,941,771,0,0,3748,3762,1294,529,0,0,5011,0,5463,11641,0
0,0,5115,0,726,0,5967,0,4258,519,4311,4074,0,868,9768,8934,1174,1215,1005,0,737,4129,4151,1146,664,0,0,4321,0,5706,12920,0
0,0,4717,0,727,0,4509,0,3956,494,4280,3719,0,729,10123,8543,1116,1132,743,0,784,3709,3735,1149,687,0,0,4226,0,4947,11769,0
0,0,4664,0,766,0,3350,0,3621,386,3731,3568,0,530,9475,7644,1019,1053,634,0,744,3253,3275,1036,674,0,0,3725,0,4787,11669,0
0,0,4944,0,732,0,3763,0,3766,490,4110,3577,0,0,9814,7871,1083,1101,721,0,763,3654,3716,1007,681,0,0,3797,0,5179,12552,0
0,0,4322,0,514,0,3210,0,3739,526,3722,3540,479,504,8991,7675,1292,1320,693,0,587,3732,3759,1043,709,0,0,3741,0,5283,12092,0
0,0,4167,454,0,0,3302,0,3083,435,3079,2993,454,617,7948,7258,1302,1327,637,0,486,4155,4180,998,578,0,0,4843,0,4611,10182,0
0,0,4317,0,0,0,3813,0,3870,411,3428,3364,547,709,7996,7418,1246,1267,784,0,567,4249,4273,942,588,0,0,5364,0,4744,10355,0
276,630,4100,544,707,0,3736,0,3461,513,3728,3194,566,558,10544,7589,1394,1443,903,0,595,4772,4796,941,549,0,0,4832,0,4621,10927,3451
0,657,4821,0,711,0,3600,0,3256,455,4577,3669,648,612,11077,8298,1351,1374,710,0,669,4259,4295,1113,642,4147,0,5263,0,5070,11974,0
0,0,4714,0,0,0,0,0,3582,484,4153,0,0,0,10176,8239,1532,1559,758,0,0,4511,4573,1056,0,6021,0,4677,0,4956,11853,0
0,571,5108,0,712,0,4039,0,3645,487,4879,3866,556,650,9899,9383,1414,1439,699,0,615,4161,4197,1296,745,3393,0,4216,0,5475,13659,0
249,579,4359,0,633,0,0,0,3085,413,3594,3394,0,541,8888,7597,1355,1379,573,0,0,3740,3761,1166,886,0,0,3111,0,5001,11406,0
287,603,4676,546,541,0,2984,0,3094,445,3783,3615,631,552,8672,8615,1438,1479,612,0,0,4258,4288,1069,730,3914,0,0,0,4977,11483,0
