date,Daily ICU occupancy,Daily ICU occupancy per million,Weekly new hospital admissions,Weekly new hospital admissions per million,Weekly new ICU admissions,Weekly new ICU admissions per million
2020-04-01,173.0,8.825,660.0,33.667,195.0,9.947
2020-04-02,200.0,10.202,644.0,32.851,194.0,9.896
2020-04-03,237.0,12.09,636.0,32.443,183.0,9.335
2020-04-04,280.0,14.283,603.0,30.759,168.0,8.57
2020-04-05,307.0,15.66,580.0,29.586,180.0,9.182
2020-04-06,327.0,16.68,561.0,28.617,183.0,9.335
2020-04-07,337.0,17.191,558.0,28.464,208.0,10.61
2020-04-08,362.0,18.466,538.0,27.444,220.0,11.222
2020-04-09,360.0,18.364,550.0,28.056,234.0,11.937
2020-04-10,383.0,19.537,547.0,27.903,228.0,11.63
2020-04-11,383.0,19.537,578.0,29.484,245.0,12.498
2020-04-12,387.0,19.741,605.0,30.861,231.0,11.783
2020-04-13,387.0,19.741,618.0,31.525,223.0,11.375
2020-04-14,379.0,19.333,623.0,31.78,213.0,10.865
2020-04-15,389.0,19.843,635.0,32.392,213.0,10.865
2020-04-16,384.0,19.588,632.0,32.239,205.0,10.457
2020-04-17,385.0,19.639,634.0,32.341,206.0,10.508
2020-04-18,360.0,18.364,639.0,32.596,200.0,10.202
2020-04-19,373.0,19.027,654.0,33.361,222.0,11.324
2020-04-20,377.0,19.231,689.0,35.146,236.0,12.039
2020-04-21,392.0,19.996,707.0,36.065,245.0,12.498
2020-04-22,399.0,20.353,734.0,37.442,258.0,13.161
2020-04-23,411.0,20.965,796.0,40.605,256.0,13.059
2020-04-24,415.0,21.169,841.0,42.9,274.0,13.977
2020-04-25,418.0,21.322,897.0,45.757,311.0,15.864
2020-04-26,415.0,21.169,935.0,47.695,310.0,15.813
2020-04-27,426.0,21.731,1013.0,51.674,306.0,15.609
2020-04-28,428.0,21.833,1082.0,55.194,330.0,16.834
2020-04-29,418.0,21.322,1189.0,60.652,359.0,18.313
2020-04-30,419.0,21.373,1285.0,65.549,389.0,19.843
2020-05-01,428.0,21.833,1375.0,70.14,424.0,21.629
2020-05-02,425.0,21.68,1498.0,76.414,453.0,23.108
2020-05-03,449.0,22.904,1595.0,81.362,460.0,23.465
2020-05-04,464.0,23.669,1655.0,84.423,501.0,25.556
2020-05-05,470.0,23.975,1814.0,92.533,558.0,28.464
2020-05-06,486.0,24.791,1925.0,98.196,582.0,29.688
2020-05-07,493.0,25.148,2012.0,102.633,603.0,30.759
2020-05-08,508.0,25.913,2141.0,109.214,620.0,31.627
2020-05-09,544.0,27.75,2241.0,114.315,661.0,33.718
2020-05-10,565.0,28.821,2421.0,123.497,680.0,34.687
2020-05-11,574.0,29.28,2558.0,130.485,701.0,35.758
2020-05-12,604.0,30.81,2684.0,136.913,675.0,34.432
2020-05-13,642.0,32.749,2873.0,146.554,716.0,36.524
2020-05-14,663.0,33.82,3081.0,157.164,750.0,38.258
2020-05-15,711.0,36.269,3224.0,164.458,790.0,40.298
2020-05-16,751.0,38.309,3408.0,173.844,755.0,38.513
2020-05-17,769.0,39.227,3514.0,179.252,765.0,39.023
2020-05-18,807.0,41.166,3672.0,187.311,782.0,39.89
2020-05-19,876.0,44.685,3869.0,197.36,773.0,39.431
2020-05-20,904.0,46.114,3957.0,201.849,746.0,38.054
2020-05-21,943.0,48.103,4047.0,206.44,762.0,38.87
2020-05-22,986.0,50.297,4141.0,211.235,740.0,37.748
2020-05-23,1062.0,54.173,4153.0,211.847,747.0,38.105
2020-05-24,1090.0,55.602,4170.0,212.715,804.0,41.013
2020-05-25,1135.0,57.897,4111.0,209.705,781.0,39.839
2020-05-26,1202.0,61.315,4117.0,210.011,774.0,39.482
2020-05-27,1251.0,63.814,4115.0,209.909,785.0,40.043
2020-05-28,1289.0,65.753,4071.0,207.664,790.0,40.298
2020-05-29,1350.0,68.864,4068.0,207.511,803.0,40.962
2020-05-30,1371.0,69.936,4128.0,210.572,803.0,40.962
2020-05-31,1383.0,70.548,4194.0,213.939,837.0,42.696
2020-06-01,1446.0,73.761,4247.0,216.642,844.0,43.053
2020-06-02,1451.0,74.017,4211.0,214.806,861.0,43.92
2020-06-03,1475.0,75.241,4248.0,216.693,913.0,46.573
2020-06-04,1496.0,76.312,4324.0,220.57,934.0,47.644
2020-06-05,1521.0,77.587,4336.0,221.182,974.0,49.684
2020-06-06,1524.0,77.74,4279.0,218.275,1029.0,52.49
2020-06-07,1558.0,79.475,4258.0,217.203,995.0,50.756
