date,Daily ICU occupancy,Daily ICU occupancy per million,Weekly new hospital admissions,Weekly new hospital admissions per million
2020-03-22,364.0,4.366,2020.0,24.229
2020-03-23,451.0,5.41,2236.0,26.82
2020-03-24,616.0,7.389,2538.0,30.443
2020-03-25,789.0,9.464,3003.0,36.02
2020-03-26,824.0,9.884,3494.0,41.91
2020-03-27,905.0,10.855,3983.0,47.775
2020-03-28,1001.0,12.007,4470.0,53.617
2020-03-29,1063.0,12.75,4869.0,58.402
2020-03-30,1203.0,14.43,5151.0,61.785
2020-03-31,1551.0,18.604,5482.0,65.755
2020-04-01,1785.0,21.411,5909.0,70.877
2020-04-02,2103.0,25.225,6131.0,73.54
2020-04-03,2364.0,28.356,6261.0,75.099
2020-04-04,2474.0,29.675,6354.0,76.215
2020-04-05,2531.0,30.359,6238.0,74.823
2020-04-06,2554.0,30.635,6108.0,73.264
2020-04-07,2644.0,31.714,6039.0,72.436
2020-04-08,2661.0,31.918,5790.0,69.45
2020-04-09,2718.0,32.602,5631.0,67.542
2020-04-10,2704.0,32.434,5455.0,65.431
2020-04-11,2657.0,31.87,4988.0,59.83
2020-04-12,2657.0,31.87,4814.0,57.743
2020-04-13,2722.0,32.65,4749.0,56.963
2020-04-14,2725.0,32.686,4371.0,52.429
2020-04-15,2739.0,32.854,4077.0,48.903
2020-04-16,2817.0,33.789,3873.0,46.456
2020-04-17,2883.0,34.581,3661.0,43.913
2020-04-18,2933.0,35.181,3654.0,43.829
2020-04-19,2875.0,34.485,3514.0,42.15
2020-04-20,2905.0,34.845,3393.0,40.698
2020-04-21,2860.0,34.305,3426.0,41.094
2020-04-22,2744.0,32.914,3249.0,38.971
2020-04-23,2728.0,32.722,3004.0,36.032
2020-04-24,2650.0,31.786,2734.0,32.794
2020-04-25,2543.0,30.503,2529.0,30.335
2020-04-26,2529.0,30.335,2389.0,28.655
2020-04-27,2471.0,29.639,2238.0,26.844
2020-04-28,2394.0,28.715,2059.0,24.697
2020-04-29,2313.0,27.744,1969.0,23.618
2020-04-30,2241.0,26.88,1772.0,21.255
2020-05-01,2124.0,25.477,1715.0,20.571
2020-05-02,2052.0,24.613,1545.0,18.532
2020-05-03,2018.0,24.205,1416.0,16.985
2020-05-04,1980.0,23.75,1368.0,16.409
2020-05-05,1906.0,22.862,1292.0,15.497
2020-05-06,1825.0,21.89,1192.0,14.298
2020-05-07,1769.0,21.219,1164.0,13.962
2020-05-08,1662.0,19.935,1104.0,13.242
2020-05-09,1596.0,19.144,1110.0,13.314
2020-05-10,1605.0,19.252,1093.0,13.11
2020-05-11,1590.0,19.072,1082.0,12.978
2020-05-12,1499.0,17.98,1065.0,12.774
2020-05-13,1386.0,16.625,1005.0,12.055
2020-05-14,1318.0,15.809,921.0,11.047
2020-05-15,1235.0,14.814,841.0,10.088
2020-05-16,1176.0,14.106,810.0,9.716
2020-05-17,1128.0,13.53,780.0,9.356
2020-05-18,1126.0,13.506,762.0,9.14
2020-05-19,1088.0,13.05,687.0,8.24
2020-05-20,1021.0,12.247,650.0,7.797
2020-05-21,1000.0,11.995,625.0,7.497
2020-05-22,975.0,11.695,559.0,6.705
2020-05-23,931.0,11.167,529.0,6.345
2020-05-24,900.0,10.795,520.0,6.237
2020-05-25,885.0,10.615,515.0,6.177
2020-05-26,816.0,9.788,522.0,6.261
2020-05-27,751.0,9.008,489.0,5.865
2020-05-28,726.0,8.708,456.0,5.47
2020-05-29,725.0,8.696,479.0,5.745
2020-05-30,716.0,8.588,445.0,5.338
2020-05-31,699.0,8.384,435.0,5.218
2020-06-01,698.0,8.372,419.0,5.026
2020-06-02,694.0,8.324,366.0,4.39
2020-06-03,635.0,7.617,337.0,4.042
2020-06-04,600.0,7.197,340.0,4.078
2020-06-05,588.0,7.053,317.0,3.802
2020-06-06,562.0,6.741,308.0,3.694
2020-06-07,567.0,6.801,307.0,3.682
2020-06-08,546.0,6.549,306.0,3.67
2020-06-09,522.0,6.261,311.0,3.73
2020-06-10,488.0,5.853,300.0,3.598
2020-06-11,453.0,5.434,284.0,3.407
2020-06-12,453.0,5.434,266.0,3.191
2020-06-13,442.0,5.302,283.0,3.395
2020-06-14,438.0,5.254,277.0,3.323
2020-06-15,434.0,5.206,292.0,3.502
2020-06-16,422.0,5.062,298.0,3.574
2020-06-17,409.0,4.906,319.0,3.826
2020-06-18,398.0,4.774,310.0,3.718
2020-06-19,377.0,4.522,327.0,3.922
2020-06-20,362.0,4.342,327.0,3.922
2020-06-21,353.0,4.234,333.0,3.994
2020-06-22,368.0,4.414,324.0,3.886
2020-06-23,362.0,4.342,327.0,3.922
2020-06-24,356.0,4.27,319.0,3.826
2020-06-25,361.0,4.33,322.0,3.862
2020-06-26,363.0,4.354,326.0,3.91
2020-06-27,345.0,4.138,323.0,3.874
2020-06-28,338.0,4.054,309.0,3.706
2020-06-29,332.0,3.982,297.0,3.562
