date,Daily hospital occupancy,Daily hospital occupancy per million,Weekly new ICU admissions,Weekly new ICU admissions per million,Weekly new hospital admissions,Weekly new hospital admissions per million,Daily ICU occupancy,Daily ICU occupancy per million
2020-03-22,344.0,36.406,16.0,1.693,273.0,28.892,125.0,13.229
2020-03-23,380.0,40.216,19.0,2.011,307.0,32.49,125.0,13.229
2020-03-24,424.0,44.872,21.0,2.222,340.0,35.983,118.0,12.488
2020-03-25,443.0,46.883,24.0,2.54,368.0,38.946,123.0,13.017
2020-03-26,501.0,53.021,25.0,2.646,419.0,44.343,133.0,14.076
2020-03-27,546.0,57.784,32.0,3.387,499.0,52.81,137.0,14.499
2020-03-28,542.0,57.361,34.0,3.598,517.0,54.715,138.0,14.605
2020-03-29,575.0,60.853,38.0,4.022,532.0,56.302,145.0,15.346
2020-03-30,657.0,69.531,42.0,4.445,596.0,63.075,151.0,15.981
2020-03-31,705.0,74.611,51.0,5.397,624.0,66.039,153.0,16.192
2020-04-01,800.0,84.665,62.0,6.562,691.0,73.129,142.0,15.028
2020-04-02,854.0,90.38,67.0,7.091,725.0,76.728,139.0,14.711
2020-04-03,837.0,88.581,80.0,8.467,713.0,75.458,152.0,16.086
2020-04-04,810.0,85.723,92.0,9.736,732.0,77.469,146.0,15.451
2020-04-05,856.0,90.592,88.0,9.313,762.0,80.643,144.0,15.24
2020-04-06,840.0,88.898,94.0,9.948,733.0,77.574,143.0,15.134
2020-04-07,768.0,81.278,90.0,9.525,697.0,73.764,166.0,17.568
2020-04-08,720.0,76.199,83.0,8.784,607.0,64.24,156.0,16.51
2020-04-09,687.0,72.706,79.0,8.361,556.0,58.842,164.0,17.356
2020-04-10,696.0,73.659,70.0,7.408,513.0,54.291,169.0,17.885
2020-04-11,652.0,69.002,62.0,6.562,482.0,51.011,176.0,18.626
2020-04-12,697.0,73.764,62.0,6.562,473.0,50.058,183.0,19.367
2020-04-13,724.0,76.622,60.0,6.35,471.0,49.847,169.0,17.885
2020-04-14,712.0,75.352,57.0,6.032,468.0,49.529,201.0,21.272
2020-04-15,722.0,76.41,63.0,6.667,479.0,50.693,208.0,22.013
2020-04-16,729.0,77.151,66.0,6.985,466.0,49.317,222.0,23.495
2020-04-17,699.0,73.976,58.0,6.138,459.0,48.577,228.0,24.13
2020-04-18,673.0,71.224,55.0,5.821,460.0,48.682,222.0,23.495
2020-04-19,661.0,69.954,55.0,5.821,410.0,43.391,248.0,26.246
2020-04-20,635.0,67.203,52.0,5.503,368.0,38.946,251.0,26.564
2020-04-21,583.0,61.7,51.0,5.397,325.0,34.395,240.0,25.4
2020-04-22,555.0,58.736,38.0,4.022,292.0,30.903,251.0,26.564
2020-04-23,532.0,56.302,32.0,3.387,273.0,28.892,260.0,27.516
2020-04-24,486.0,51.434,33.0,3.492,251.0,26.564,264.0,27.939
2020-04-25,459.0,48.577,28.0,2.963,218.0,23.071,270.0,28.574
2020-04-26,467.0,49.423,25.0,2.646,210.0,22.225,276.0,29.209
2020-04-27,436.0,46.142,17.0,1.799,182.0,19.261,281.0,29.739
2020-04-28,414.0,43.814,17.0,1.799,183.0,19.367,282.0,29.844
2020-04-29,394.0,41.698,17.0,1.799,169.0,17.885,270.0,28.574
2020-04-30,393.0,41.592,13.0,1.376,156.0,16.51,276.0,29.209
2020-05-01,368.0,38.946,12.0,1.27,150.0,15.875,275.0,29.104
2020-05-02,344.0,36.406,12.0,1.27,156.0,16.51,274.0,28.998
2020-05-03,346.0,36.618,8.0,0.847,138.0,14.605,-1.0,-1.0
2020-05-04,323.0,34.184,7.0,0.741,135.0,14.287,-1.0,-1.0
2020-05-05,291.0,30.797,4.0,0.423,116.0,12.276,-1.0,-1.0
2020-05-06,276.0,29.209,4.0,0.423,109.0,11.536,-1.0,-1.0
2020-05-07,266.0,28.151,6.0,0.635,103.0,10.901,-1.0,-1.0
2020-05-08,260.0,27.516,4.0,0.423,96.0,10.16,-1.0,-1.0
2020-05-09,254.0,26.881,4.0,0.423,92.0,9.736,-1.0,-1.0
2020-05-10,261.0,27.622,8.0,0.847,92.0,9.736,-1.0,-1.0
2020-05-11,240.0,25.4,9.0,0.952,83.0,8.784,-1.0,-1.0
2020-05-12,228.0,24.13,10.0,1.058,84.0,8.89,-1.0,-1.0
2020-05-13,216.0,22.86,12.0,1.27,79.0,8.361,-1.0,-1.0
2020-05-14,211.0,22.33,11.0,1.164,72.0,7.62,-1.0,-1.0
2020-05-15,195.0,20.637,10.0,1.058,60.0,6.35,-1.0,-1.0
2020-05-16,194.0,20.531,9.0,0.952,54.0,5.715,-1.0,-1.0
2020-05-17,198.0,20.955,6.0,0.635,50.0,5.292,-1.0,-1.0
2020-05-18,181.0,19.155,6.0,0.635,44.0,4.657,-1.0,-1.0
2020-05-19,172.0,18.203,5.0,0.529,41.0,4.339,-1.0,-1.0
2020-05-20,169.0,17.885,3.0,0.317,35.0,3.704,-1.0,-1.0
2020-05-21,158.0,16.721,2.0,0.212,37.0,3.916,-1.0,-1.0
2020-05-22,151.0,15.981,2.0,0.212,41.0,4.339,-1.0,-1.0
2020-05-23,148.0,15.663,2.0,0.212,40.0,4.233,-1.0,-1.0
2020-05-24,147.0,15.557,1.0,0.106,30.0,3.175,-1.0,-1.0
2020-05-25,138.0,14.605,0.0,0.0,35.0,3.704,-1.0,-1.0
2020-05-26,131.0,13.864,0.0,0.0,31.0,3.281,-1.0,-1.0
2020-05-27,129.0,13.652,1.0,0.106,33.0,3.492,-1.0,-1.0
2020-05-28,128.0,13.546,1.0,0.106,32.0,3.387,-1.0,-1.0
2020-05-29,125.0,13.229,2.0,0.212,32.0,3.387,-1.0,-1.0
2020-05-30,130.0,13.758,2.0,0.212,34.0,3.598,-1.0,-1.0
2020-05-31,134.0,14.181,2.0,0.212,39.0,4.127,-1.0,-1.0
2020-06-01,138.0,14.605,2.0,0.212,43.0,4.551,-1.0,-1.0
2020-06-02,129.0,13.652,3.0,0.317,53.0,5.609,-1.0,-1.0
2020-06-03,127.0,13.441,2.0,0.212,55.0,5.821,-1.0,-1.0
2020-06-04,134.0,14.181,2.0,0.212,59.0,6.244,-1.0,-1.0
2020-06-05,127.0,13.441,1.0,0.106,62.0,6.562,-1.0,-1.0
