date,Daily ICU occupancy,Daily ICU occupancy per million,Daily hospital occupancy,Daily hospital occupancy per million,Weekly new hospital admissions,Weekly new hospital admissions per million
2020-03-22,0.0,0.0,96.0,1.603,269.0,4.491
2020-03-23,0.0,0.0,101.0,1.686,390.0,6.512
2020-03-24,0.0,0.0,184.0,3.072,462.0,7.714
2020-03-25,2.0,0.033,183.0,3.055,1081.0,18.049
2020-03-26,2.0,0.033,185.0,3.089,1426.0,23.809
2020-03-27,7.0,0.117,189.0,3.156,1991.0,33.242
2020-03-28,7.0,0.117,173.0,2.888,2328.0,38.869
2020-03-29,7.0,0.117,204.0,3.406,3025.0,50.506
2020-03-30,7.0,0.117,260.0,4.341,4344.0,72.528
2020-03-31,7.0,0.117,267.0,4.458,5940.0,99.175
2020-04-01,7.0,0.117,275.0,4.591,7241.0,120.897
2020-04-02,7.0,0.117,286.0,4.775,8256.0,137.844
2020-04-03,7.0,0.117,290.0,4.842,8864.0,147.995
2020-04-04,7.0,0.117,310.0,5.176,8608.0,143.721
2020-04-05,10.0,0.167,320.0,5.343,7342.0,122.583
2020-04-06,10.0,0.167,328.0,5.476,6023.0,100.561
2020-04-07,10.0,0.167,325.0,5.426,4482.0,74.832
2020-04-08,10.0,0.167,324.0,5.41,3720.0,62.11
2020-04-09,10.0,0.167,364.0,6.077,2912.0,48.619
2020-04-10,10.0,0.167,361.0,6.027,2506.0,41.841
2020-04-11,10.0,0.167,361.0,6.027,2271.0,37.917
2020-04-12,10.0,0.167,361.0,6.027,1969.0,32.875
2020-04-13,26.0,0.434,378.0,6.311,1863.0,31.105
2020-04-14,26.0,0.434,388.0,6.478,1700.0,28.384
2020-04-15,27.0,0.451,384.0,6.411,1912.0,31.923
2020-04-16,27.0,0.451,434.0,7.246,-1.0,-1.0
2020-04-17,27.0,0.451,423.0,7.062,-1.0,-1.0
2020-04-18,36.0,0.601,523.0,8.732,-1.0,-1.0
2020-04-19,36.0,0.601,551.0,9.2,-1.0,-1.0
2020-04-20,36.0,0.601,566.0,9.45,-1.0,-1.0
2020-04-21,36.0,0.601,574.0,9.584,-1.0,-1.0
2020-04-22,36.0,0.601,574.0,9.584,-1.0,-1.0
2020-04-23,36.0,0.601,654.0,10.919,-1.0,-1.0
2020-04-24,27.0,0.451,684.0,11.42,-1.0,-1.0
2020-04-25,19.0,0.317,692.0,11.554,-1.0,-1.0
2020-04-26,19.0,0.317,700.0,11.687,-1.0,-1.0
2020-04-27,19.0,0.317,790.0,13.19,-1.0,-1.0
2020-04-28,31.0,0.518,851.0,14.208,-1.0,-1.0
2020-04-29,29.0,0.484,857.0,14.309,-1.0,-1.0
2020-04-30,34.0,0.568,971.0,16.212,-1.0,-1.0
2020-05-01,38.0,0.634,983.0,16.412,-1.0,-1.0
2020-05-02,42.0,0.701,1041.0,17.381,-1.0,-1.0
2020-05-03,41.0,0.685,1210.0,20.202,-1.0,-1.0
2020-05-04,41.0,0.685,1424.0,23.775,-1.0,-1.0
2020-05-05,58.0,0.968,1432.0,23.909,-1.0,-1.0
2020-05-06,65.0,1.085,1359.0,22.69,-1.0,-1.0
2020-05-07,64.0,1.069,1413.0,23.592,-1.0,-1.0
2020-05-08,64.0,1.069,1433.0,23.926,-1.0,-1.0
2020-05-09,65.0,1.085,1431.0,23.892,-1.0,-1.0
2020-05-10,81.0,1.352,1537.0,25.662,-1.0,-1.0
2020-05-11,81.0,1.352,1807.0,30.17,-1.0,-1.0
2020-05-12,70.0,1.169,2149.0,35.88,-1.0,-1.0
2020-05-13,70.0,1.169,2250.0,37.566,-1.0,-1.0
2020-05-14,133.0,2.221,2256.0,37.667,-1.0,-1.0
2020-05-15,136.0,2.271,2247.0,37.516,-1.0,-1.0
2020-05-16,121.0,2.02,2294.0,38.301,-1.0,-1.0
2020-05-17,121.0,2.02,2323.0,38.785,-1.0,-1.0
2020-05-18,121.0,2.02,2446.0,40.839,-1.0,-1.0
2020-05-19,141.0,2.354,2514.0,41.974,-1.0,-1.0
2020-05-20,156.0,2.605,2386.0,39.837,-1.0,-1.0
2020-05-21,156.0,2.605,2572.0,42.943,-1.0,-1.0
2020-05-22,156.0,2.605,2644.0,44.145,-1.0,-1.0
2020-05-23,167.0,2.788,2695.0,44.996,-1.0,-1.0
2020-05-24,164.0,2.738,2751.0,45.931,-1.0,-1.0
2020-05-25,152.0,2.538,3047.0,50.873,-1.0,-1.0
2020-05-26,191.0,3.189,3160.0,52.76,-1.0,-1.0
2020-05-27,195.0,3.256,3177.0,53.044,-1.0,-1.0
2020-05-28,170.0,2.838,3377.0,56.383,-1.0,-1.0
2020-05-29,201.0,3.356,3381.0,56.45,-1.0,-1.0
2020-05-30,202.0,3.373,3732.0,62.31,-1.0,-1.0
2020-05-31,200.0,3.339,3675.0,61.359,-1.0,-1.0
2020-06-01,194.0,3.239,4068.0,67.92,-1.0,-1.0
2020-06-02,192.0,3.206,4160.0,69.456,-1.0,-1.0
2020-06-03,207.0,3.456,4160.0,69.456,-1.0,-1.0
2020-06-04,206.0,3.439,5204.0,86.887,-1.0,-1.0
2020-06-05,216.0,3.606,5764.0,96.237,-1.0,-1.0
2020-06-06,237.0,3.957,6123.0,102.231,-1.0,-1.0
2020-06-07,230.0,3.84,4931.0,82.329,-1.0,-1.0
2020-06-08,205.0,3.423,5675.0,94.751,-1.0,-1.0
2020-06-09,231.0,3.857,5925.0,98.925,-1.0,-1.0
2020-06-10,241.0,4.024,6290.0,105.019,-1.0,-1.0
2020-06-11,251.0,4.191,5915.0,98.758,-1.0,-1.0
2020-06-12,303.0,5.059,6650.0,111.03,-1.0,-1.0
2020-06-13,304.0,5.076,6103.0,101.897,-1.0,-1.0
2020-06-14,296.0,4.942,6417.0,107.139,-1.0,-1.0
2020-06-15,377.0,6.294,6648.0,110.996,-1.0,-1.0
2020-06-16,381.0,6.361,6615.0,110.445,-1.0,-1.0
2020-06-17,387.0,6.461,8131.0,135.757,-1.0,-1.0
2020-06-18,392.0,6.545,9093.0,151.819,-1.0,-1.0
2020-06-19,392.0,6.545,9347.0,156.059,-1.0,-1.0
2020-06-20,480.0,8.014,9513.0,158.831,-1.0,-1.0
2020-06-21,537.0,8.966,9784.0,163.356,-1.0,-1.0
2020-06-22,561.0,9.367,6790.0,113.367,-1.0,-1.0
2020-06-23,577.0,9.634,6761.0,112.883,-1.0,-1.0
2020-06-24,577.0,9.634,6738.0,112.499,-1.0,-1.0
2020-06-25,671.0,11.203,6616.0,110.462,-1.0,-1.0
2020-06-26,649.0,10.836,9419.0,157.261,-1.0,-1.0
2020-06-27,654.0,10.919,11798.0,196.982,-1.0,-1.0
2020-06-28,721.0,12.038,11776.0,196.614,-1.0,-1.0
2020-06-29,721.0,12.038,8200.0,136.909,-1.0,-1.0
2020-06-30,721.0,12.038,9581.0,159.966,-1.0,-1.0
2020-07-01,708.0,11.821,10341.0,172.655,-1.0,-1.0
2020-07-02,699.0,11.671,10832.0,180.853,-1.0,-1.0
2020-07-03,776.0,12.956,10184.0,170.034,-1.0,-1.0
