date,Daily ICU occupancy,Daily ICU occupancy per million,Daily hospital occupancy,Daily hospital occupancy per million,Weekly new hospital admissions,Weekly new hospital admissions per million
2020-07-15,9245.0,27.329,33760.0,99.796,30552.0,90.313
2020-07-16,9797.0,28.96,38539.0,113.923,31352.0,92.678
2020-07-17,10700.0,31.63,40062.0,118.425,31679.0,93.645
2020-07-18,10963.0,32.407,40376.0,119.353,31870.0,94.209
2020-07-19,10267.0,30.35,37897.0,112.025,32804.0,96.97
2020-07-20,11291.0,33.377,41140.0,121.612,33651.0,99.474
2020-07-21,11458.0,33.87,42195.0,124.73,34623.0,102.347
2020-07-22,12487.0,36.912,46107.0,136.294,35637.0,105.345
2020-07-23,13916.0,41.136,47836.0,141.405,36273.0,107.225
2020-07-24,13627.0,40.282,46750.0,138.195,36797.0,108.774
2020-07-25,14402.0,42.573,51833.0,153.221,38017.0,112.38
2020-07-26,12403.0,36.664,43098.0,127.4,38570.0,114.015
2020-07-27,14230.0,42.065,47167.0,139.428,38559.0,113.982
2020-07-28,14578.0,43.093,48114.0,142.227,38039.0,112.445
2020-07-29,14021.0,41.447,45616.0,134.843,37003.0,109.383
2020-07-30,14653.0,43.315,46832.0,138.437,36591.0,108.165
2020-07-31,14603.0,43.167,46150.0,136.421,36115.0,106.758
2020-08-01,14400.0,42.567,50419.0,149.041,34747.0,102.714
2020-08-02,14053.0,41.541,50238.0,148.506,33369.0,98.64
2020-08-03,14245.0,42.109,45291.0,133.882,33014.0,97.591
2020-08-04,14116.0,41.728,45134.0,133.418,32638.0,96.479
2020-08-05,14059.0,41.559,44663.0,132.026,32371.0,95.69
2020-08-06,13885.0,41.045,43891.0,129.744,31983.0,94.543
2020-08-07,13769.0,40.702,43210.0,127.731,31666.0,93.606
2020-08-08,13358.0,39.487,41593.0,122.951,31573.0,93.331
2020-08-09,13163.0,38.91,41484.0,122.629,31657.0,93.58
2020-08-10,13181.0,38.964,42072.0,124.367,31681.0,93.65
2020-08-11,13058.0,38.6,41645.0,123.104,32164.0,95.078
2020-08-12,12868.0,38.038,41817.0,123.613,32112.0,94.925
2020-08-13,12677.0,37.474,41240.0,121.907,31929.0,94.384
2020-08-14,12512.0,36.986,39980.0,118.183,31756.0,93.872
2020-08-15,12246.0,36.2,38699.0,114.396,31102.0,91.939
2020-08-16,11991.0,35.446,38850.0,114.842,30882.0,91.289
2020-08-17,11967.0,35.375,39032.0,115.38,30413.0,89.902
2020-08-18,11958.0,35.348,38897.0,114.981,29605.0,87.514
2020-08-19,11571.0,34.204,38002.0,112.336,29228.0,86.399
2020-08-20,11263.0,33.294,37321.0,110.323,29374.0,86.831
2020-08-21,11031.0,32.608,35989.0,106.385,29131.0,86.113
2020-08-22,10779.0,31.863,34888.0,103.13,29624.0,87.57
2020-08-23,10738.0,31.742,34609.0,102.306,29715.0,87.839
2020-08-24,10691.0,31.603,34791.0,102.844,29926.0,88.463
2020-08-25,10603.0,31.343,34479.0,101.921,30061.0,88.862
2020-08-26,10383.0,30.693,33624.0,99.394,29816.0,88.137
2020-08-27,9905.0,29.28,33285.0,98.392,29474.0,87.126
